1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Code,Country Name,Indicator Code,Indicator Name
7.40E+01,7.35E+01,7.29E+01,7.24E+01,7.18E+01,7.12E+01,7.07E+01,7.02E+01,6.98E+01,6.93E+01,6.88E+01,6.83E+01,6.78E+01,6.73E+01,6.68E+01,6.63E+01,6.59E+01,6.54E+01,6.50E+01,6.45E+01,6.40E+01,6.33E+01,6.26E+01,6.19E+01,6.11E+01,6.02E+01,5.94E+01,5.85E+01,5.76E+01,5.66E+01,5.57E+01,5.48E+01,5.39E+01,5.29E+01,5.20E+01,5.11E+01,5.02E+01,4.92E+01,4.83E+01,4.74E+01,4.66E+01,4.58E+01,IND,India,SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
3.83E+01,3.79E+01,3.75E+01,3.72E+01,3.68E+01,3.65E+01,3.63E+01,3.60E+01,3.57E+01,3.54E+01,3.50E+01,3.47E+01,3.43E+01,3.39E+01,3.35E+01,3.31E+01,3.27E+01,3.23E+01,3.18E+01,3.12E+01,3.07E+01,3.01E+01,2.96E+01,2.90E+01,2.84E+01,2.79E+01,2.74E+01,2.69E+01,2.65E+01,2.60E+01,2.56E+01,2.52E+01,2.47E+01,2.43E+01,2.38E+01,2.33E+01,2.28E+01,2.23E+01,2.19E+01,2.16E+01,2.13E+01,2.10E+01,IND,India,SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
8.09E+09,1.07E+10,4.11E+09,1.64E+10,2.93E+10,2.12E+10,1.39E+10,1.39E+10,3.22E+10,3.79E+10,1.88E+09,5.75E+10,4.45E+10,1.79E+10,4.82E+10,8.31E+10,6.53E+10,2.02E+10,8.54E+10,6.01E+10,6.36E+10,-9.03E+09,9.84E+10,-1.72E+10,1.41E+11,2.46E+11,-1.50E+11,1.30E+11,-3.02E+10,4.25E+11,1.52E+11,-1.97E+10,1.82E+11,2.07E+11,8.02E+11,1.04E+12,1.47E+12,2.02E+12,1.07E+12,1.79E+12,2.45E+12,1.89E+12,IND,India,NE.GDI.STKB.CN,Changes in inventories (current LCU)
1.08E+09,1.43E+09,5.31E+08,2.08E+09,3.67E+09,2.45E+09,1.56E+09,1.62E+09,3.92E+09,4.69E+09,2.38E+08,6.44E+09,4.62E+09,1.73E+09,4.06E+09,6.79E+09,5.11E+09,1.56E+09,5.90E+09,3.61E+09,3.54E+09,-3.68E+08,3.73E+09,-5.48E+08,4.48E+09,7.34E+09,-4.22E+09,3.51E+09,-7.19E+08,9.81E+09,3.32E+09,-4.13E+08,3.76E+09,4.50E+09,1.78E+10,2.36E+10,3.25E+10,5.01E+10,2.32E+10,3.78E+10,5.38E+10,3.95E+10,IND,India,NE.GDI.STKB.CD,Changes in inventories (current US$)
4.25E+01,4.31E+01,4.07E+01,4.43E+01,4.23E+01,4.72E+01,4.61E+01,5.04E+01,5.25E+01,4.89E+01,5.05E+01,5.41E+01,5.29E+01,5.96E+01,6.04E+01,6.13E+01,6.13E+01,6.00E+01,6.71E+01,7.17E+01,7.27E+01,7.38E+01,7.72E+01,7.99E+01,8.23E+01,8.39E+01,8.78E+01,8.79E+01,9.03E+01,9.44E+01,9.23E+01,9.50E+01,8.47E+01,9.71E+01,9.41E+01,9.99E+01,1.06E+02,1.16E+02,1.18E+02,1.12E+02,1.25E+02,1.34E+02,IND,India,AG.PRD.CROP.XD,Crop production index (2004-2006 = 100)
7.50E+00,7.44E+00,7.73E+00,7.86E+00,7.98E+00,8.65E+00,8.94E+00,8.56E+00,8.21E+00,8.08E+00,7.89E+00,8.93E+00,9.63E+00,1.03E+01,1.19E+01,1.22E+01,1.28E+01,1.30E+01,1.45E+01,1.67E+01,1.79E+01,2.45E+01,2.64E+01,3.14E+01,3.14E+01,3.35E+01,3.55E+01,3.72E+01,4.21E+01,4.33E+01,4.57E+01,4.77E+01,4.84E+01,4.60E+01,4.49E+01,4.43E+01,4.52E+01,4.03E+01,4.60E+01,4.74E+01,4.56E+01,4.79E+01,IND,India,PA.NUS.ATLS,DEC alternative conversion factor (LCU per US$)
1.64E+01,1.59E+01,1.54E+01,1.49E+01,1.44E+01,1.40E+01,1.36E+01,1.32E+01,1.29E+01,1.26E+01,1.23E+01,1.21E+01,1.19E+01,1.17E+01,1.15E+01,1.13E+01,1.12E+01,1.10E+01,1.09E+01,1.07E+01,1.06E+01,1.04E+01,1.02E+01,1.01E+01,9.88E+00,9.71E+00,9.53E+00,9.36E+00,9.20E+00,9.04E+00,8.90E+00,8.76E+00,8.63E+00,8.51E+00,8.39E+00,8.28E+00,8.19E+00,8.11E+00,8.05E+00,8.00E+00,7.97E+00,7.95E+00,IND,India,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
3.72E+00,3.60E+00,3.96E+00,4.14E+00,4.75E+00,5.55E+00,6.57E+00,6.27E+00,6.21E+00,6.63E+00,6.03E+00,5.83E+00,5.88E+00,5.74E+00,6.18E+00,5.16E+00,5.11E+00,5.51E+00,5.93E+00,6.90E+00,6.93E+00,8.35E+00,8.69E+00,9.66E+00,9.72E+00,1.07E+01,1.02E+01,1.05E+01,1.08E+01,1.13E+01,1.28E+01,1.23E+01,1.40E+01,1.47E+01,1.76E+01,1.93E+01,2.11E+01,2.04E+01,2.36E+01,2.00E+01,2.19E+01,2.39E+01,IND,India,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP)
1.77E+10,1.84E+10,2.23E+10,2.83E+10,3.84E+10,4.81E+10,6.14E+10,6.64E+10,7.12E+10,8.34E+10,9.03E+10,1.03E+11,1.16E+11,1.31E+11,1.58E+11,1.50E+11,1.65E+11,2.03E+11,2.59E+11,3.46E+11,4.06E+11,5.63E+11,6.73E+11,8.61E+11,1.02E+12,1.31E+12,1.45E+12,1.65E+12,1.95E+12,2.28E+12,2.78E+12,2.91E+12,3.56E+12,4.17E+12,5.69E+12,7.12E+12,9.05E+12,1.02E+13,1.33E+13,1.30E+13,1.71E+13,2.14E+13,IND,India,NE.EXP.GNFS.CN,Exports of goods and services (current LCU)
2.36E+09,2.47E+09,2.88E+09,3.60E+09,4.81E+09,5.56E+09,6.87E+09,7.75E+09,8.67E+09,1.03E+10,1.14E+10,1.15E+10,1.20E+10,1.27E+10,1.33E+10,1.22E+10,1.29E+10,1.56E+10,1.79E+10,2.08E+10,2.26E+10,2.29E+10,2.55E+10,2.75E+10,3.24E+10,3.91E+10,4.08E+10,4.45E+10,4.64E+10,5.25E+10,6.09E+10,6.10E+10,7.35E+10,9.08E+10,1.27E+11,1.61E+11,2.00E+11,2.53E+11,2.89E+11,2.74E+11,3.75E+11,4.47E+11,IND,India,NE.EXP.GNFS.CD,Exports of goods and services (current US$)
