Lambda,# Adjusted savings: Energy Depletion,Adjusted savings: Mineral Depletion,Adolescent fertility rate,Crude Birth Rate,Crop Production Index,Crude Death Rate,Total Fertility Rate,Food production index,Total Life Expectancy at Birth,Livestock Production Index,Mobile Cellular Subscription per 100 people,Total Population,Annual Population Growth %,Population Density,Population in Largest City,Primary Education Duration,Primary Schooling Starting Age,Rural Population % of total population,Secondary Education Duration,Secondary School Starting Age,Telephone lines (per 100 peoples),Urban Population (% of Total),Annual Urban Population growth %
10,-29172470.5949,-8915515.79889,-0.119210238116,-0.0997020744736,-1.42769495109,0.0149707358438,-0.00880287514514,-1.02033171519,-0.422963120701,-1.0720395594,-0.136910036369,-320968.022796,-0.0116025593503,-6.60376158163,-76144.2232674,-0.0434749758383,-0.0315551623925,-0.0920961417701,-0.0432293754178,-0.0732706586109,-0.0869156496408,-0.702339817655,-0.0173725995693
13,-2358177.09613,-662407.813492,-0.0795224534137,-0.0361207330848,-0.170985802151,-0.00815017897703,-0.00429630231067,-0.138823729317,-0.109063509503,-0.172845935625,-0.0109903840795,-38228.6701857,-0.00301403949531,-0.694357088503,-14402.4739681,-0.0120022565116,-0.0094090113873,-0.0367776469972,-0.00955664124236,-0.0209803714835,-0.0120256685267,-0.149762422644,-0.00481147964989
16,-211367.718128,-78500.6253457,-0.0745708197864,-0.029221303082,-0.0419311529202,-0.0102399419321,-0.00380138595317,-0.0513719991795,-0.0809564394642,-0.0817150049682,-0.000363023628552,-24124.278756,-0.00205662213594,-0.0537275171655,-8414.14612889,-0.00870217664402,-0.00734981851833,-0.0315621860807,-0.00629533837238,-0.0160733912762,-0.00590443715202,-0.0932780559668,-0.003396290714
20,-60386.7993031,-34301.9009051,-0.073865961952,-0.0288907280095,-0.0341813392528,-0.0104040412671,-0.00377515196951,-0.0458469798759,-0.078893557276,-0.075840411974,0.00059359869735,-22165.2970837,-0.00200439363631,-0.00512654563954,-8065.26705032,-0.00851331731581,-0.00724543901106,-0.0308094704591,-0.00607026211197,-0.0157753389751,-0.00546207065314,-0.0898904380544,-0.0033150284287
23,-26516.4050312,46476.7520127,-0.0737964171103,-0.0286041050692,-0.0322195647346,-0.0103903407272,-0.00377975885135,-0.0452293310043,-0.078891208001,-0.0734094790489,-6.69506948725e-06,-25087.125984,-0.00197831728772,-0.0246816950321,-8093.63096097,-0.00849413160945,-0.00726534401918,-0.0326614018265,-0.00597087309754,-0.0157308978429,-0.00544907515338,-0.0891964764583,-0.00328841757802
30,-11482.1596966,7239.58320045,-0.0739143715082,-0.0285681276201,-0.0319524006995,-0.0103208139318,-0.00374867328913,-0.0445893431744,-0.0787500823337,-0.0749257785153,-0.000277428600683,-24963.6525525,-0.00197252416372,-0.0180825488142,-8032.15390274,-0.00845130771056,-0.00726467656291,-0.0311090198411,-0.00605132831345,-0.0156913384244,-0.00544691715445,-0.0883782607109,-0.00327940511825
